status,reason,symbol,optionTicker,side,fillPrice,occurredAt,provenanceSource,providerResultCount,recordedTradeAt,recordedTradePrice,recordedMarkPrice,firstProviderTradeAt,firstProviderTradePrice,recordedPriceExistsInTradeWindow,recordedTimestampWithin1ms,exactAggregateAt,exactAggregateClose,nearbyAggregateAt,nearbyAggregateClose,fillId,orderId,error
matched,exact 1-minute aggregate close matches fill price,DIA,O:DIA260410C00463000,buy,5.86,2026-04-06T13:31:00.000Z,polygon-option-aggregates,1,,,5.86,,,,,2026-04-06T13:31:00.000Z,5.86,2026-04-06T13:31:00.000Z,5.86,9b13ae1c-0e0f-45bb-89e9-6028fdc23121,cc374db8-aee6-42b9-943b-5d22826284cf,
matched,"first provider trade, recorded price, and recorded timestamp match",COIN,O:COIN260410C00175000,buy,6.47,2026-04-06T13:35:00.000Z,polygon-option-trade,9,2026-04-06T13:35:02.100Z,6.47,7.2,2026-04-06T13:35:02.100Z,6.47,true,true,,,,,08b39707-93c8-4b99-9c33-bd903c688606,fdb0bc92-fd2b-4de4-aae1-ff402c75f752,
matched,"first provider trade, recorded price, and recorded timestamp match",TSM,O:TSM260410C00340000,buy,8.65,2026-04-06T13:35:00.000Z,polygon-option-trade,3,2026-04-06T13:35:09.404Z,8.65,8.9,2026-04-06T13:35:09.404Z,8.65,true,true,,,,,dc6da2c0-e0d1-416f-8635-b79e69439dc2,5bb33bbc-19ac-45be-bf17-8587af93eb0c,
matched,"first provider trade, recorded price, and recorded timestamp match",RKLB,O:RKLB260410C00067000,sell,4.1,2026-04-06T13:37:00.000Z,polygon-option-trade,3,2026-04-06T13:37:06.147Z,4.1,3.95,2026-04-06T13:37:06.147Z,4.1,true,true,,,,,0407cc13-9411-43a3-8611-4788aa7a6ef6,2f748357-85e8-4787-acbd-1f0b0b0f0b18,
matched,"first provider trade, recorded price, and recorded timestamp match",MU,O:MU260410C00375000,buy,12.66,2026-04-06T13:40:00.000Z,polygon-option-trade,27,2026-04-06T13:40:06.166Z,12.66,13.15,2026-04-06T13:40:06.166Z,12.66,true,true,,,,,64417013-a285-415e-8d2b-7f85304efbb9,31c10da5-76a1-41ea-8d93-c5a7d570108e,
matched,"first provider trade, recorded price, and recorded timestamp match",HUT,O:HUT260410C00049000,buy,2.47,2026-04-06T13:45:00.000Z,polygon-option-trade,2,2026-04-06T13:45:05.897Z,2.47,2.56,2026-04-06T13:45:05.897Z,2.47,true,true,,,,,6ce013ca-b11d-4db5-a6aa-374bd8216bfa,ecf3d96a-a1d1-42b0-a99a-5880f175abeb,
matched,"first provider trade, recorded price, and recorded timestamp match",MU,O:MU260410C00375000,sell,16,2026-04-06T14:06:00.000Z,polygon-option-trade,11,2026-04-06T14:06:00.381Z,16,14.85,2026-04-06T14:06:00.381Z,16,true,true,,,,,d0bc6860-7421-42c6-96d8-106adda25e9c,76b67db0-576d-442d-81a0-c96c47ed5150,
matched,exact 1-minute aggregate close matches fill price,RTX,O:RTX260410C00200000,buy,1.44,2026-04-06T14:11:00.000Z,polygon-option-aggregates,1,,,1.44,,,,,2026-04-06T14:11:00.000Z,1.44,2026-04-06T14:11:00.000Z,1.44,39cb11f3-77be-4e63-b8d5-d2dee1198650,a23cfa75-b96b-44b5-ab49-939f8fa00b2b,
matched,"first provider trade, recorded price, and recorded timestamp match",HOOD,O:HOOD260410C00068000,buy,3.45,2026-04-06T14:25:00.000Z,polygon-option-trade,1,2026-04-06T14:25:49.309Z,3.45,3.45,2026-04-06T14:25:49.309Z,3.45,true,true,,,,,95fb5c26-6f3c-4f29-b566-0af26135e618,b9d2f1c3-c45f-4b81-88c7-90d4efd5178e,
matched,"first provider trade, recorded price, and recorded timestamp match",CLSK,O:CLSK260410C00009000,sell,0.43,2026-04-06T14:48:00.000Z,polygon-option-trade,2,2026-04-06T14:48:04.176Z,0.43,0.43,2026-04-06T14:48:04.176Z,0.43,true,true,,,,,4c509007-2bfc-40b2-b14c-6204fb3fe907,a8a6d95d-c3a4-4b70-9e08-32360fac645c,
